QKEY,INTERVIEW_START_W149,INTERVIEW_END_W149,DEVICE_TYPE_W149,SVYMODE_W149,LANG_W149,FORM_W149,X_KIDS1,X_KIDS2,SATIS_W149,POL1JB_W149,POL1JBSTR_W149,CAMPNII_W149,PRZCMPGN_W149,MATTERS_W149,VOTEGEN24_W149,VOTEGEN24_LEAN_W149,VOTEGEN2_TRUMP_W149,VOTEGEN2_BIDEN_W149,VOTEGEN2_KENNEDY_W149,VOTESTRONG_W149,VOTEGEN24_TWO_W149,SATISPRESCAND_W149,EMTPRESTRUMP_W149,EMTPRESBIDEN_W149,CMPGNTRAIT_PROUD_W149,CMPGNTRAIT_NEG_W149,CMPGNTRAIT_POLCY_W149,ELECT_CONF_A_W149,ELECT_CONF_B_W149,TRUMPISSUE1_W149,TRUMPISSUE2_W149,BIDENISSUE1_W149,BIDENISSUE2_W149,INSTFAV_CONG_W149,INSTFAV_COURT_W149,INSTFAV_REP_W149,INSTFAV_DEM_W149,DTCONF_FRGN_W149,DTCONF_SCT_W149,DTCONF_WRK_W149,DTCONF_ECON_W149,DTCONF_IMMI_W149,DTCONF_ABCN_W149,JBCONF_FRGN_W149,JBCONF_SCT_W149,JBCONF_WRK_W149,JBCONF_ECON_W149,JBCONF_IMMI_W149,JBCONF_ABCN_W149,TRUMPDESC_HNST_W149,TRUMPDESC_ORD_W149,TRUMPDESC_MNSHRP_W149,TRUMPDESC_MEAN_W149,TRUMPDESC_EMB_W149,BIDENDESC_HNST_W149,BIDENDESC_ORD_W149,BIDENDESC_MNSHRP_W149,BIDENDESC_MEAN_W149,BIDENDESC_EMB_W149,FREETRADEUS_W149,AGNCYFAV_FBI_W149,AGNCYFAV_CIA_W149,AGNCYFAV_CDC_W149,AGNCYFAV_SSA_W149,AGNCYFAV_FED_W149,AGNCYFAV_NPS_W149,AGNCYFAV_ED_W149,AGNCYFAV_TRANS_W149,AGNCYFAV_JSTCE_W149,AGNCYFAV_IRS_W149,AGNCYFAV_EPA_W149,AGNCYFAV_NASA_W149,AGNCYFAV_VA_W149,AGNCYFAV_USPS_W149,AGNCYFAV_HHS_W149,AGNCYFAV_HMLND_W149,BILLION_W149,COURTIDEO_W149,COURTPOWER_W149,SCOTUS_PRTSN_W149,SCOTUS_JOB_W149,JB_FP_CH_W149,JB_FP_ISHM_W149,JB_FP_ENR_W149,JB_FP_WRK_W149,JB_FP_NK_W149,JB_FP_IRN_W149,JB_FP_UKR_W149,DT_FP_CH_W149,DT_FP_ISHM_W149,DT_FP_ENR_W149,DT_FP_WRK_W149,DT_FP_NK_W149,DT_FP_IRN_W149,DT_FP_UKR_W149,UKRFOL_W149,UKR_SPRT_W149,RU_UKN_THRT2_W149,USUK_RESP_W149,UA_APPDIS_SANC_W149,UA_APPDIS_MIL_W149,UA_APPDIS_STRIK_W149,UA_CONC_WARRS_W149,UA_CONC_DFT_W149,UA_CONC_MREYR_W149,UA_CONC_INVD_W149,UA_PROG_W149,DEMCARE_W149,DEMEARN_W149,REPCARE_W149,REPEARN_W149,ISGZ_FOL_W149,BIDEN_FAVORISRPAL_W149,TRUMP_FAVORISRPAL_W149,PF_HAPPEN_MED_W149,PF_HAPPEN_HOU_W149,PF_HAPPEN_LOSE_W149,PF_HAPPEN_RAISE_W149,PF_HAPPEN_SAVE_W149,PF_HAPPEN_FOOD_W149,PF_HAPPEN_CHILD_W149,VOTE_MOTIV_W149,VOTEHOW_W149,RPLC_W149,LIVSTAN_W149,LIVSTAN2_W149,HORSE_W149,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W149
103677,02-Jul-2024 18:57:14,02-Jul-2024 21:09:51,1,1,9,2,1,2,2,2,1,1,,1,1,,1,,,1,,,1,4,1,2,1,3,1,1,2,4,3,2,2,2,4,,,,,,,,,,,,,2,1,2,3,3,4,3,4,3,1,2,,,,,,,,,4,4,4,3,2,2,4,4,1,,3,2,2,,,,,4,4,4,,,,,2,1,1,1,1,2,2,,,,4,3,2,5,3,4,5,2,4,1,2,3,1,1,2,2,2,2,1,1,1,4,1,4,1,1,1,2,2,3,1,2,4,2,,1,1,1,1,1,2,2,2,5,1,,2,,1,1,1,9,1,1,1,3,0.47047207880069497
104210,06-Jul-2024 12:09:55,06-Jul-2024 12:18:45,1,1,9,2,2,2,2,1,2,3,,1,2,,,1,,2,,,3,2,2,1,2,2,2,4,3,2,1,3,4,4,3,,,,,,,,,,,,,4,4,4,1,1,2,2,2,4,3,2,,,,,,,,,2,1,1,1,2,1,1,3,2,,1,2,4,,,,,2,2,1,,,,,4,4,4,2,2,1,2,,,,4,1,1,1,2,3,3,5,1,5,1,1,1,1,2,2,2,1,2,1,1,1,5,,2,1,1,2,1,2,2,3,2,2,,1,1,1,1,2,12,,3,6,2,,2,,2,4,1,2,5,2,2,1,0.985936015469811
104491,04-Jul-2024  01:18:49,04-Jul-2024  01:38:02,3,1,9,1,2,2,1,99,,,1,1,2,,,1,,1,,1,,,1,1,2,2,1,4,3,1,1,3,4,4,1,4,4,4,4,4,4,1,1,1,1,1,1,,,,,,,,,,,1,1,1,2,1,2,1,2,2,,,,,,,,,2,1,,2,4,1,2,1,1,,,,4,4,4,4,,,,2,3,1,1,1,1,1,,,,,2,2,2,5,5,2,1,1,2,2,2,2,1,2,2,1,3,2,1,,2,1,4,9,1,4,2,2,3,2,,4,1,1,4,5,12,,3,6,2,,1,,2,4,1,3,5,3,2,2,0.7819952365722325
104727,02-Jul-2024 22:29:52,02-Jul-2024 22:39:46,3,1,9,2,2,1,2,2,1,3,,1,1,,1,,,2,,,1,3,2,1,2,2,2,1,2,4,3,3,3,2,4,,,,,,,,,,,,,1,1,2,3,4,4,4,4,1,1,1,,,,,,,,,3,3,2,2,1,2,3,4,3,,1,2,3,,,,,4,4,4,,,,,1,1,1,5,1,3,2,,,,4,4,4,4,6,5,5,2,2,5,4,4,2,2,2,1,2,2,2,1,1,4,2,2,1,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,2,,1,1,1,99,2,2,2,99,1.4485321268992462
106590,02-Jul-2024 22:23:47,02-Jul-2024 22:41:21,1,1,9,2,2,1,2,2,1,2,,1,1,,2,,,2,,,2,3,2,1,2,3,1,2,3,4,2,3,2,2,3,,,,,,,,,,,,,3,3,2,3,2,3,2,4,3,1,1,,,,,,,,,2,3,3,1,2,3,2,2,1,,3,2,3,,,,,3,3,3,,,,,2,2,2,3,3,2,1,,,,1,1,2,2,2,4,4,4,4,3,2,4,1,2,2,1,2,2,2,1,1,1,2,2,1,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,12,,3,5,3,1,,3,1,2,1,9,3,2,2,3,0.7868995816740731
107612,02-Jul-2024 22:30:59,03-Jul-2024 24:53:36,1,1,9,2,1,1,2,1,1,2,,1,3,,,,2,2,2,,4,2,2,1,1,2,2,4,3,2,2,3,3,3,2,,,,,,,,,,,,,4,4,4,1,4,1,2,2,4,1,2,,,,,,,,,4,4,1,2,4,1,4,5,2,,1,2,4,,,,,3,3,3,,,,,4,4,4,3,3,3,2,,,,3,3,1,2,2,3,3,5,1,5,4,4,2,2,2,1,2,2,2,1,3,2,1,1,3,1,3,7,2,4,2,2,4,2,,1,2,2,1,1,1,2,1,2,2,,1,,2,3,1,1,3,2,2,1,0.6469997793271162
107668,02-Jul-2024 18:35:32,02-Jul-2024 18:46:21,1,1,9,2,2,2,2,2,2,2,,1,4,3,,,,,2,,3,2,2,2,2,2,2,4,3,3,2,3,3,3,3,,,,,,,,,,,,,4,3,3,1,1,2,2,4,3,2,1,,,,,,,,,2,2,2,1,2,3,2,2,1,,3,2,3,,,,,2,2,2,,,,,3,3,4,3,2,1,1,,,,3,1,2,1,4,4,4,3,3,3,3,4,2,2,2,1,1,2,2,5,2,1,3,,3,2,3,7,3,3,2,1,5,2,,1,1,1,1,6,1,2,1,6,3,1,,4,1,2,1,9,3,1,1,3,0.3900173227411348
108435,04-Jul-2024  08:43:34,04-Jul-2024  08:56:54,1,1,9,1,2,1,2,2,1,,1,1,1,,1,,,1,,3,,,2,2,2,3,1,2,1,4,3,2,1,2,4,1,1,2,1,1,2,4,4,4,4,4,4,,,,,,,,,,,2,4,4,4,2,2,2,3,3,,,,,,,,,3,1,,2,2,4,3,4,4,,,,2,1,1,1,,,,3,4,2,1,1,2,5,,,,,4,5,5,2,4,3,2,3,2,2,2,2,1,2,2,1,2,4,2,4,1,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,1,,1,1,1,9,2,2,2,3,0.6846588539239341
108592,02-Jul-2024 18:32:04,02-Jul-2024 22:48:20,3,1,9,1,2,2,1,1,1,,1,1,2,,,1,,1,,1,,,1,2,1,1,2,4,3,1,1,3,4,4,2,4,4,4,4,4,4,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,2,4,1,1,1,1,,,,4,4,4,4,,,,2,3,1,1,1,1,1,,,,,2,1,2,5,5,2,3,4,2,2,2,2,1,2,2,1,2,4,1,,2,1,2,3,2,4,2,2,4,2,,1,2,2,1,3,1,2,1,2,2,,1,,2,3,1,5,3,1,2,99,0.508419838113085
110041,02-Jul-2024 18:32:09,02-Jul-2024 20:52:06,3,1,9,2,2,1,2,2,1,1,,1,1,,1,,,1,,,1,4,1,2,1,2,1,1,2,4,3,3,2,2,4,,,,,,,,,,,,,2,1,1,3,4,3,3,4,3,1,1,,,,,,,,,4,3,4,1,2,1,2,2,1,,3,2,2,,,,,4,4,4,,,,,2,1,2,99,3,2,1,,,,4,2,3,1,3,5,5,2,3,2,2,3,2,2,2,2,1,2,2,1,1,4,1,2,1,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,10,,3,6,1,,1,,1,1,1,9,2,3,2,3,0.5405523010844068
110129,03-Jul-2024  09:07:05,03-Jul-2024 16:48:02,1,1,9,2,2,1,2,2,1,2,,2,4,1,,,,,,,3,3,2,1,2,2,2,3,3,4,3,3,2,2,4,,,,,,,,,,,,,2,2,1,2,2,4,3,4,2,2,2,,,,,,,,,5,3,3,2,2,3,2,2,2,,3,2,3,,,,,3,3,4,,,,,2,2,3,2,2,1,1,,,,3,1,1,1,6,4,4,2,3,2,4,4,2,2,2,2,1,2,99,3,2,1,3,4,1,1,2,4,2,4,2,1,5,2,,1,1,1,1,1,1,1,1,2,4,1,,3,1,1,1,4,2,2,1,2,0.5397734465467806
110353,02-Jul-2024 19:25:17,06-Jul-2024 15:31:36,1,1,9,2,2,2,2,2,2,1,,1,1,,1,,,2,,,2,3,2,1,2,2,2,2,2,4,3,2,2,2,3,,,,,,,,,,,,,2,2,1,2,2,3,3,3,3,2,1,,,,,,,,,2,2,2,5,2,2,2,2,3,,3,1,,,,,,3,3,3,,,,,2,2,2,3,3,4,1,,,,2,2,2,2,3,4,4,3,3,3,4,4,1,1,2,2,2,2,2,3,2,3,5,,1,1,2,3,3,4,2,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,4,2,2,2,1,0.7043286904404457
111646,03-Jul-2024  02:52:01,03-Jul-2024  07:51:14,1,1,9,2,2,2,2,1,1,1,,1,2,,,1,,1,,,4,1,2,1,1,1,1,4,3,1,1,3,3,3,2,,,,,,,,,,,,,4,4,4,1,1,1,1,1,3,3,1,,,,,,,,,1,2,1,2,3,2,1,1,1,,1,1,,,,,,1,1,1,,,,,4,3,4,1,3,1,1,,,,3,1,3,1,3,2,2,4,4,2,3,2,2,2,2,99,1,2,2,1,3,2,3,,2,1,4,8,2,4,2,1,5,2,,1,1,1,1,1,3,2,4,2,3,2,,3,2,3,1,9,3,2,1,2,0.39462822967960387
112238,03-Jul-2024  09:19:46,03-Jul-2024  09:30:21,3,1,9,2,2,1,2,2,1,2,,1,1,,1,,,1,,,1,4,2,1,2,3,2,1,2,4,2,2,2,2,3,,,,,,,,,,,,,2,1,2,3,2,4,3,4,3,1,1,,,,,,,,,2,2,2,2,2,2,2,2,3,,3,2,3,,,,,3,3,3,,,,,2,1,1,3,3,2,2,,,,3,2,3,3,3,3,3,2,2,3,4,3,2,2,2,1,1,2,2,1,3,3,2,3,1,1,4,8,2,4,2,3,2,2,,1,1,1,1,2,12,,3,5,1,,1,,1,2,1,3,3,2,2,2,0.6580426143763363
112371,02-Jul-2024 18:32:03,02-Jul-2024 19:08:02,1,1,9,2,2,1,2,2,1,2,,1,1,,1,,,1,,,2,3,99,1,2,4,2,3,2,4,3,3,2,2,3,,,,,,,,,,,,,2,1,1,4,99,4,4,4,3,4,2,,,,,,,,,4,4,3,2,3,2,4,4,1,,3,2,2,,,,,4,4,4,,,,,1,1,1,3,1,3,2,,,,3,3,3,3,3,5,5,3,3,3,2,3,2,1,2,2,2,2,99,2,1,4,3,5,1,1,1,2,2,3,2,2,3,1,3,1,1,3,1,1,2,2,2,5,3,1,,3,1,1,1,99,2,2,2,99,0.6867098553867119
112613,04-Jul-2024 16:41:12,04-Jul-2024 16:52:52,3,1,9,2,2,2,2,2,1,1,,1,1,,1,,,1,,,2,4,2,2,2,2,1,2,1,4,3,2,1,2,3,,,,,,,,,,,,,2,1,1,4,2,3,4,4,2,1,1,,,,,,,,,3,2,2,1,4,3,2,4,3,,3,2,2,,,,,4,4,4,,,,,1,1,1,2,1,4,1,,,,2,1,2,2,3,5,3,2,3,3,2,4,2,2,2,2,1,2,2,1,3,3,4,,1,1,3,5,1,4,2,1,6,2,,1,1,1,1,6,1,2,1,4,1,,2,,1,2,1,8,3,3,2,3,0.8337954495798728
113274,02-Jul-2024 18:32:09,02-Jul-2024 18:36:17,1,1,9,1,2,2,2,2,2,,3,2,4,3,,,,,2,2,,,2,2,2,3,3,3,2,2,2,2,2,2,4,99,2,2,99,99,99,99,2,2,99,99,99,,,,,,,,,,,1,2,1,2,2,99,2,2,2,,,,,,,,,2,2,,2,2,2,99,99,2,,,,2,99,99,2,,,,2,1,2,1,99,1,2,,,,,2,3,4,4,4,2,3,2,99,99,99,1,99,99,2,2,2,1,2,,3,1,1,1,2,3,1,1,5,99,,1,1,1,1,2,5,,4,3,2,,1,,2,3,1,2,2,2,2,1,0.6533491726277616
114473,06-Jul-2024 23:17:08,06-Jul-2024 23:31:43,1,1,9,2,2,2,2,2,1,2,,1,1,,1,,,2,,,2,2,1,2,2,2,2,1,2,4,3,3,2,2,4,,,,,,,,,,,,,3,2,2,3,2,3,2,3,3,1,99,,,,,,,,,5,3,3,2,3,1,5,5,1,,3,1,,,,,,4,4,4,,,,,1,1,1,3,3,3,2,,,,4,2,3,2,3,5,4,3,3,3,99,3,2,2,2,2,2,1,2,1,1,1,1,,1,1,1,2,2,4,2,1,6,2,,1,4,4,1,6,1,1,1,1,1,,1,,1,1,1,1,2,2,1,1,0.6000638000581384
114671,02-Jul-2024 18:44:03,02-Jul-2024 19:08:59,1,1,9,2,2,1,2,2,1,1,,1,,,1,,,1,,,1,3,2,2,2,3,3,1,2,4,3,2,1,2,4,,,,,,,,,,,,,1,1,1,4,3,4,4,4,2,1,2,,,,,,,,,4,4,4,1,2,4,4,4,3,,3,2,2,,,,,4,4,4,,,,,1,1,1,1,1,2,2,,,,4,4,3,5,4,5,1,1,3,1,2,3,2,2,2,2,2,2,2,,,,1,4,,2,4,8,3,4,1,1,6,2,,1,1,1,1,1,1,2,1,5,3,1,,2,1,1,3,9,2,2,2,3,1.073076852410256
116151,02-Jul-2024 20:35:39,02-Jul-2024 21:21:10,1,1,9,2,2,1,2,2,1,1,,1,1,,1,,,1,,,1,4,99,99,2,3,3,1,1,4,3,2,2,1,4,,,,,,,,,,,,,1,1,1,4,4,4,4,4,1,1,99,,,,,,,,,4,4,4,2,3,3,4,4,3,,3,2,2,,,,,4,4,4,,,,,1,1,1,1,1,2,99,,,,2,2,1,3,4,5,5,1,1,1,2,3,1,99,2,99,99,1,2,1,1,4,2,4,1,1,4,8,2,4,2,99,99,2,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,4,1,1,0.6012739580964785
116422,02-Jul-2024 18:32:08,03-Jul-2024 11:32:29,1,1,9,1,2,1,2,1,2,,1,1,2,,,1,,2,,4,,,2,1,2,2,2,4,3,3,2,4,3,4,3,4,4,4,4,4,3,2,2,3,2,3,2,,,,,,,,,,,99,2,5,3,3,5,1,5,3,,,,,,,,,3,1,,2,4,2,3,3,1,,,,4,4,4,4,,,,4,4,2,99,1,2,5,,,,,6,3,4,5,4,4,4,4,2,2,99,99,1,2,99,1,1,2,5,7,2,1,2,4,3,4,2,3,2,2,,1,1,1,1,5,12,,3,5,3,2,,5,2,3,1,7,3,2,2,2,1.28164593096219
